id,reg,active,serial,hexIcao,airlineName,iataCodeShort,icaoCode,model,modelCode,numSeats,rolloutDate,firstFlightDate,deliveryDate,registrationDate,typeName,numEngines,engineType,isFreighter,productionLine,ageYears,verified,numRegistrations,firstRegistrationDate
1831,N469UA,True,1409,A5BCCD,United Airlines,320,A320,A320,320-232,,2001-01-18,2001-01-18,2001-03-01,2008-10-03,Airbus A320,2,Jet,False,Airbus A320,24.1,True,3,2001-03-01
21393,N556UW,True,5244,A7178C,American Airlines,321,A321,A321,321-231,187,2012-07-26,2012-07-26,2012-08-03,2015-04-08,Airbus A321,2,Jet,False,Airbus A321,12.6,True,2,2012-08-04
15007,N8523W,True,36969,ABB19C,Southwest Airlines,738,B738,B738,B737-8H4,175,2017-01-30,2017-01-30,2017-02-10,2017-02-10,Boeing 737-800,2,Jet,False,Boeing 737 NG,8.1,True,1,2017-02-10
3729,N352NB,True,1824,A3ED69,Delta Air Lines,319,A319,A319,319-114,132,2002-09-16,2002-09-16,2002-10-22,2009-07-15,Airbus A319,2,Jet,False,Airbus A319,22.5,True,2,2002-10-22
32360,N617UX,True,17000819,A80A97,SkyWest Airlines,E75,E175,E175,175LR,70,2019-08-21,,,2020-05-04,Embraer 175,2,Jet,False,Embraer ERJ170,5.6,True,2,2019-10-11
2121953,N8842L,True,67793,AC2F5A,Southwest Airlines,7M8,B38M,B38M,737-8MAX,,,,2023-01-31,2023-01-31,Boeing 737 MAX 8,2,Jet,False,Boeing 737 MAX,2.1,True,1,2023-01-31
1749973,N925AT,True,55078,ACD0CF,Delta Air Lines,717,B717,B717,B717-231,110,2000-10-21,,,2014-04-30,Boeing 717,2,Jet,False,Boeing 717,24.4,True,4,2000-10-26
2115048,N13014,True,40940,A07DC9,United Airlines,781,B781,B781,787-10,318,,,2023-03-24,2023-03-24,Boeing 787-10,2,Jet,False,Boeing 787,2.0,True,1,2023-03-24
12855,N207WN,True,34012,A1AE05,Southwest Airlines,73G,B737,B737,B737-7H4,,2005-03-18,2005-03-18,2005-03-31,2005-03-31,Boeing 737-700,2,Jet,False,Boeing 737 NG,20.0,True,1,2005-03-31
12779,N556WN,True,33936,A717B6,Southwest Airlines,73G,B737,B737,B737-7BD,143,2011-03-30,2011-03-30,2011-04-13,2011-04-14,Boeing 737-700,2,Jet,False,Boeing 737 NG,14.0,True,1,2011-04-14
1746546,N8807L,True,65438,AC212D,Southwest Airlines,738,B738,B738,B737-8MAX,175,2019-10-22,,,2021-03-31,Boeing 737-800,2,Jet,False,Boeing 737 NG,5.4,True,1,2021-03-31
27934,N916NK,True,9175,ACAE2B,Spirit Airlines,32A,A320,A20N,320-271N,,2019-09-09,2019-09-09,2019-09-19,2019-09-19,Airbus A320 (Sharklets),2,Jet,False,Airbus A320,5.5,True,1,2019-09-19
23360,N15969,True,60142,A0EEEA,United Airlines,789,B789,B789,B787-9,257,2017-02-03,2017-02-03,2017-02-17,2017-02-16,Boeing 787-9,2,Jet,False,Boeing 787,8.1,True,1,2017-02-16
22789,N188NV,False,5669,A15FA4,Allegiant Air,320,A320,A320,320-214,180,2013-06-18,2013-06-18,2013-07-04,,Airbus A320,2,Jet,False,Airbus A320,11.7,True,2,2013-07-04
16931,N535UW,True,3993,A6C4D7,American Airlines,321,A321,A321,321-231,187,2009-07-23,2009-07-23,2009-07-31,2015-04-08,Airbus A321,2,Jet,False,Airbus A321,15.6,True,2,2009-07-31
10144,N639VA,False,3016,A86107,Alaska Airlines,320,A320,A320,320-214,146,2007-01-05,2007-01-05,2007-01-26,2018-01-11,Airbus A320,2,Jet,False,Airbus A320,18.2,True,4,2007-01-26
24397,N919DU,True,63531,ACB878,Delta Air Lines,737,,B739,B737-932ER,,2019-02-16,2019-02-16,2019-02-21,2019-02-21,Boeing 737,2,Jet,False,Boeing 737,6.1,True,1,2019-02-21
2122795,N8875B,True,67918,AC3ADF,Southwest Airlines,7M8,B38M,B38M,737-8MAX,175,,,2023-06-30,2023-06-30,Boeing 737 MAX 8,2,Jet,False,Boeing 737 MAX,1.7,True,1,2023-06-30
27336,N339FR,True,8535,A3B7CB,Frontier Airlines,32A,A320,A20N,320-251N,186,2018-10-15,2018-10-15,2018-10-25,2018-10-25,Airbus A320 (Sharklets),2,Jet,False,Airbus A320,6.4,True,1,2018-10-25
2829,N331NB,False,1567,A39AB4,Delta Air Lines,319,A319,A319,319-114,,2001-07-25,2001-07-25,2001-08-23,2009-11-22,Airbus A319,2,Jet,False,Airbus A319,23.6,True,2,2001-08-23
1957,N676AE,True,145807,A8F207,Envoy Air,ER4,E145,E145,145LR,,,,2004-05-19,2017-05-01,Embraer 145,2,Jet,False,Embraer ERJ145,20.8,True,5,2004-05-19
11524,N435WN,True,32455,A537B2,Southwest Airlines,73G,B737,B737,B737-7H4,143,2003-05-15,2003-05-15,2003-06-02,2003-06-02,Boeing 737-700,2,Jet,False,Boeing 737 NG,21.8,True,1,2003-06-02
24699,N8584Z,True,64800,ABC80C,Southwest Airlines,738,B738,B738,B737-8H4,175,2018-08-12,2018-08-12,2018-08-31,2018-08-31,Boeing 737-800,2,Jet,False,Boeing 737 NG,6.6,True,1,2018-08-31
1749631,N882DN,True,31994,AC259B,Delta Air Lines,739,B739,B739,B737-932ER,180,2017-07-21,,,2017-08-07,Boeing 737-900,2,Jet,False,Boeing 737 NG,7.6,True,1,2017-08-07
11656,N57864,True,32588,A76F68,United Airlines,753,B753,B753,B757-33N,234,2001-09-27,2001-09-27,2001-10-12,2011-05-01,Boeing 757-300,2,Jet,False,Boeing 757,23.5,True,4,2001-10-12
25455,N986AN,True,7046,ADC17B,American Airlines,321,A321,A321,321-231,181,2016-08-15,2016-08-16,2016-08-26,2016-08-26,Airbus A321,2,Jet,False,Airbus A321,8.6,True,1,2016-08-26
2121891,N975NK,True,11295,AD976E,Spirit Airlines,32N,A20N,A20N,320-271N,182,,2023-01-05,2023-01-25,2023-01-25,Airbus A320 NEO,2,Jet,False,Airbus A320 NEO,2.2,True,1,2023-01-25
2577,N896SK,False,15102,AC5D38,SkyWest Airlines,CR9,CRJ9,CRJ9,CRJ-900LR,76,,,2007-01-24,2013-03-12,Canadair CRJ 900,2,Jet,False,Canadair CRJ 900,18.1,True,3,2007-01-24
22218,N946AT,True,55009,AD2384,Delta Air Lines,717,B717,B717,B717-2BD,110,,,1999-11-29,2015-12-19,Boeing 717,2,Jet,False,Boeing 717,25.3,True,2,1999-11-29
2133399,N17329,False,67581,A12712,United Airlines,7M8,B38M,B38M,737-8MAX,166,,,2023-10-31,2023-10-31,Boeing 737 MAX 8,2,Jet,False,Boeing 737 MAX,1.4,False,1,2023-10-31
12272,N556NW,True,33392,A716F6,Delta Air Lines,752,B752,B752,B757-251,199,2002-05-07,2002-05-07,2002-05-17,2009-05-01,Boeing 757-200,2,Jet,False,Boeing 757,22.8,True,2,2002-05-17
2941,N529JB,True,1610,A6AB27,JetBlue Airways,320,A320,A320,320-232,162,2001-09-27,2001-09-27,2001-11-08,2001-11-08,Airbus A320,2,Jet,False,Airbus A320,23.5,True,1,2001-11-08
2116073,N8746Q,True,61889,AC086B,Southwest Airlines,738,B738,B738,B737-8MAX,175,2020-07-10,,,2021-01-08,Boeing 737-800,2,Jet,False,Boeing 737 NG,4.7,True,1,2021-01-08
2122370,N783SK,True,10281,AA9D45,SkyWest Airlines,,,,CRJ-701ER,,,,2009-07-18,2009-07-18,Canadair CRJ-701ER,,,False,,15.6,True,1,2009-07-18
25172,N660NK,True,6804,A8B56F,Spirit Airlines,321,A321,A321,321-231,218,2015-10-12,2015-10-12,2015-10-23,2015-10-23,Airbus A321,2,Jet,False,Airbus A321,9.4,True,1,2015-10-23
27558,N371DN,True,8763,A437DA,Delta Air Lines,321,A321,A321,321-211,192,2019-02-05,2019-02-05,2019-02-14,2019-02-14,Airbus A321,2,Jet,False,Airbus A321,6.1,True,1,2019-02-14
24260,N9022G,True,6310,AC793F,American Airlines,31W,A319,A319,319-115,128,2014-10-01,2014-10-01,2014-10-16,2014-10-16,Airbus A319,2,Jet,False,Airbus A319,10.4,True,1,2014-10-16
1747266,N917SW,True,7641,ACB251,SkyWest Airlines,CR2,CRJ2,CRJ2,CRJ-200LR,,,,2002-05-03,2025-01-12,Canadair CRJ 200,2,Jet,False,Canadair CRJ 100,22.9,True,2,2002-05-03
10361,N387DA,True,30374,A47597,Delta Air Lines,738,B738,B738,B737-832,,1999-12-16,1999-12-16,2000-01-14,2000-01-14,Boeing 737-800,2,Jet,False,Boeing 737 NG,25.2,True,1,2000-01-14
11453,N3745B,True,32373,A445B0,Delta Air Lines,738,B738,B738,B737-832,160,2001-04-13,2001-04-13,2001-06-12,2001-06-12,Boeing 737-800,2,Jet,False,Boeing 737 NG,23.9,True,1,2001-06-12
60999,N424AN,True,10141,A50A88,American Airlines,32Q,A21N,A21N,321-253NX,196,2020-08-27,,,2020-09-04,Airbus A321 NEO,2,Jet,False,Airbus A321 NEO,4.5,True,1,2020-09-04
2133914,N520DN,True,654,A68946,Delta Air Lines,359,A359,A359,350-941,275,,,2024-04-04,2024-04-04,Airbus A350-900,2,Jet,False,Airbus A350,0.9,True,1,2024-04-04
10244,N793AN,True,30255,AAC337,American Airlines,772,B772,B772,B777-223ER,273,2000-09-08,2000-09-08,2000-09-14,2000-09-14,Boeing 777-200,2,Jet,False,Boeing 777,24.5,True,1,2000-09-14
2122099,N748EV,True,10158,AA10BA,SkyWest Airlines,,,,CRJ-701ER,,,,2004-07-30,2018-11-18,Canadair CRJ-701ER,,,False,,20.6,True,3,2004-07-30
